discardDuplicatesBeforeUselessCards	waitForGoldenGun	chooseScrapOverUnknownShelf	maxConsecUselessUnknownShelfDraws	wins
0.153	0.541	0.652	10	505
0.757	0.926	0.938	5	179
0.381	0.125	0.572	9	607
0.693	0.735	0.396	5	492
0.207	0.163	0.492	7	608
0.475	0.366	0.142	5	606
0.076	0.212	0.878	6	434
0.676	0.69	0.03	10	564
0.08	0.196	0.684	5	560
0.893	0.096	0.965	6	291
0.683	0.278	0.071	3	652
0.99	0.939	0.277	6	343
0.665	0.83	0.239	2	481
0.635	0.731	0.814	4	409
0.577	0.942	0.964	9	123
0.654	0.943	0.207	1	333
0.488	0.882	0.938	6	207
0.432	0.589	0.587	10	532
0.48	0.324	0.278	4	620
0.411	0.134	0.149	1	625
0.707	0.348	0.653	8	555
0.907	0.744	0.504	6	507
0.078	0.459	0.278	8	643
0.438	0.717	0.681	9	492
0.73	0.586	0.938	2	299
0.48	0.603	0.288	2	591
0.604	0.896	0.679	1	338
0.564	0.481	0.861	5	388
0.461	0.285	0.558	6	584
0.594	0.181	0.821	3	444
0.726	0.33	0.417	5	602
0.177	0.53	0.799	6	483
0.476	0.83	0.137	10	499
0.736	0.751	0.199	3	527
0.653	0.325	0.847	2	447
0.152	0.716	0.597	1	505
0.871	0.854	0.547	10	461
0.447	0.293	0.688	9	522
0.788	0.324	0.964	4	295
0.533	0.102	0.275	10	627
0.666	0.932	0.768	2	265
0.997	0.397	0.846	2	448
0.562	0.575	0.407	3	576
0.122	0.242	0.634	10	588
0.962	0.366	0.838	3	427
0.785	0.445	0.638	9	509
0.23	0.346	0.906	5	382
0.706	0.199	0.141	6	625
0.601	0.393	0.042	2	608
0.106	0.961	0.603	6	244
0.249	0.939	0.752	6	265
0.428	0.201	0.767	7	522
0.464	0.698	0.357	7	577
0.463	0.71	0.677	10	473
0.604	0.606	0.346	5	579
0.58	0.989	0.531	3	148
0.382	0.671	0.309	3	588
0.14	0.031	0.378	5	664
0.928	0.176	0.511	8	583
0.131	0.282	0.794	6	491
0.675	0.037	0.163	5	623
0.636	0.015	0.438	10	614
0.962	0.251	0.401	9	611
0.194	0.205	0.83	2	473
0.771	0.536	0.688	8	504
0.869	0.774	0.208	10	548
0.466	0.357	0.486	7	592
0.713	0.016	0.831	5	484
0.949	0.642	0.658	6	484
0.419	0.425	0.12	4	604
0.031	0.908	0.405	9	406
0.406	0.339	0.402	4	591
0.964	0.524	0.719	6	499
0.73	0.55	0.038	1	595
0.762	0.836	0.814	4	340
0.871	0.304	0.407	10	595
0.801	0.746	0.981	3	220
0.11	0.195	0.41	5	608
0.827	0.943	0.676	3	269
0.942	0.354	0.979	10	271
0.774	0.652	0.643	9	515
0.788	0.719	0.086	3	540
0.578	0.561	0.554	5	557
0.634	0.841	0.117	3	505
0.307	0.883	0.468	8	408
0.713	0.641	0.313	6	554
0.097	0.693	0.022	3	623
0.149	0.282	0.897	9	389
0.356	0.56	0.144	1	603
0.295	0.481	0.695	8	535
0.527	0.299	0.59	9	581
0.469	0.064	0.212	1	649
0.256	0.032	0.193	5	639
0.005	0.38	0.447	1	603
0.599	0.451	0.989	6	244
0.521	0.281	0.665	5	560
0.803	0.591	0.654	2	511
0.604	0.132	0.662	4	558
0.103	0.277	0.89	5	396
0.078	0.068	0.79	5	508
0.413	0.779	0.329	2	539
0.403	0.323	0.022	2	645
0.146	0.618	0.464	3	591
